Id,tweet,Likes,Retweets,Date,id,created_at,replies_count,retweets_count,likes_count,hashtags,cashtags,language,link,conversation_id,Jahr,Monat,Tag,time,user_id,username
1664044000112779264,Learn Python by Building 12 Projects https://t.co/KQPnzchcfQ  #python #programming #developer #coding  #datascience #machinelearning #deeplearning  #datascience,394,91,2023-05-31 22:59:40,1664044000112779264,2023-05-31 22:59:40,3,91,394,"['python', 'programming', 'developer', 'coding', 'datascience', 'machinelearning', 'deeplearning', 'datascience']",[],en,https://twitter.com/machinelearnflx/status/1664044000112779264,1664044000112779264,2023,5,31,22:59:40,4820804277,machinelearnflx
1664024458498129923,"Components of #MLOps Platform for #MachineLearning in Production. @abacusai #BigData #Analytics #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #Linux #Programming #Coding #100DaysofCode  
https://t.co/2VAGXEse9v https://t.co/ngm8O5OnR1",46,23,2023-05-31 21:42:01,1664024458498129923,2023-05-31 21:42:01,0,23,46,"['MLOps', 'MachineLearning', 'BigData', 'Analytics', 'DataScience', 'AI', 'IoT', 'IIoT', 'Python', 'RStats', 'TensorFlow', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'Linux', 'Programming', 'Coding', '100DaysofCode']",[],en,https://twitter.com/gp_pulipaka/status/1664024458498129923,1664024458498129923,2023,5,31,21:42:01,4263007693,gp_pulipaka
1664020435342598146,"100+ Practical Example Projects ( by Author Emenwa Global). #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #Linux #Books #Programming #Coding #100DaysofCode 
https://t.co/nkTB7mzpm5 https://t.co/3bz6CWZOvo",238,68,2023-05-31 21:26:02,1664020435342598146,2023-05-31 21:26:02,1,68,238,"['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'IIoT', 'Python', 'RStats', 'TensorFlow', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'Linux', 'Books', 'Programming', 'Coding', '100DaysofCode']",[],en,https://twitter.com/gp_pulipaka/status/1664020435342598146,1664020435342598146,2023,5,31,21:26:02,4263007693,gp_pulipaka
1663976858629861376,"1. Intro to Computer Science And Programming In Python

https://t.co/zS4PezE2EL",78,18,2023-05-31 18:32:52,1663976858629861376,2023-05-31 18:32:52,1,18,78,,[],en,https://twitter.com/python_spaces/status/1663976858629861376,1663976856578822144,2023,5,31,18:32:52,1545688064957509632,python_spaces
1663968588104101888,"Python Object Oriented Programming (OOP) - For Beginners
#python #oop #webdevelopment
https://t.co/czJ7vAT8qk",520,137,2023-05-31 18:00:01,1663968588104101888,2023-05-31 18:00:01,3,137,520,"['python', 'oop', 'webdevelopment']",[],en,https://twitter.com/PythonPr/status/1663968588104101888,1663968588104101888,2023,5,31,18:00:01,855384627975831553,PythonPr
1663940135627501568,Python Classes: The Power of Object-Oriented Programming #python https://t.co/Bl5KQBAWpO,111,22,2023-05-31 16:06:57,1663940135627501568,2023-05-31 16:06:57,0,22,111,['python'],[],en,https://twitter.com/realpython/status/1663940135627501568,1663940135627501568,2023,5,31,16:06:57,745911914,realpython
1663928607125774336,"autoCut is an automatic lawn mower build by schuhumi.

Link Below 
https://t.co/QwgrE3iXvs

#embedded #Arduino #dotnet #Python #pythonprogramming #instructables #ElectronicsTwitter #RaspberryPi #RaspberryPiPico 
@E14Community #STEM https://t.co/VZ8wxNTBQD",76,9,2023-05-31 15:21:08,1663928607125774336,2023-05-31 15:21:08,1,9,76,"['embedded', 'Arduino', 'dotnet', 'Python', 'pythonprogramming', 'instructables', 'ElectronicsTwitter', 'RaspberryPi', 'RaspberryPiPico', 'STEM']",[],en,https://twitter.com/PerenialDev/status/1663928607125774336,1663928607125774336,2023,5,31,15:21:08,1420635311500103682,PerenialDev
1663919629692030978,"Python is a popular programming language for data visualization, thanks to its versatility and numerous libraries available for data visualization. https://t.co/MUXIPT0QPl 
#DataScience #Python #DataVisualization #DataAnalytics #coding https://t.co/rhaKXq282R",376,96,2023-05-31 14:45:28,1663919629692030978,2023-05-31 14:45:28,0,96,376,"['DataScience', 'Python', 'DataVisualization', 'DataAnalytics', 'coding']",[],en,https://twitter.com/Parajulisaroj16/status/1663919629692030978,1663919629692030978,2023,5,31,14:45:28,450304785,Parajulisaroj16
1663915493143597056,"Python is a versatile and widespread language.
 
It was not my first programming language, but I became proficient.
 
Here are 5 books that helped me to level up my Python skills: ↓",50,2,2023-05-31 14:29:02,1663915493143597056,2023-05-31 14:29:02,6,2,50,,[],en,https://twitter.com/Franc0Fernand0/status/1663915493143597056,1663915493143597056,2023,5,31,14:29:02,1344928554425987074,Franc0Fernand0
1663897795693092864,"💡🧠Helping #Government Institutions with #Knowledge #Management 

https://t.co/Es9k1FOPa8 

#AI #MachineLearning #Python #GenerativeAI #ChatGPT #ML #Robotics #ehealth #Technology #Robots #IoT #DataScience #CloudComputing #Robotics #Bigdata #programming #tech #innovation @sonu_monika @enilev @Jagersbergknut @chidambara09 @labordeolivier @BetaMoroney @tlloydjones @Nicochan33 @jeancayeux @RLDI_Lamy @pierrepinna @pierrecappelli @pchamard @JeromeMONANGE @thierry_pires @vanivina9 @MaiaGabunia @amalmerzouk @NewsNeus @KanezaDiane @mary_gambara @PawlowskiMario @XavierAncelin @drsharwood @kalydeoo @AnthonyRochand @Sharleneisenia @1OFFGINGER @smaksked @CurieuxExplorer @ipfconline1
@LavaletteAstrid @andresvilarino @FrRonconi @mdrechsler @fernandolofrano @gvalan @HeinzVHoenen @EstelaMandela @bimedotcom @dinisguarda @fogle_shane @FmFrancoise @nafisalam @Eli_Krumova @Hana_ElSayyed @Mhcommunicate @EduardoValenteI @theomitsa",107,73,2023-05-31 13:18:42,1663897795693092864,2023-05-31 13:18:42,13,73,107,"['Government', 'Knowledge', 'Management', 'AI', 'MachineLearning', 'Python', 'GenerativeAI', 'ChatGPT', 'ML', 'Robotics', 'ehealth', 'Technology', 'Robots', 'IoT', 'DataScience', 'CloudComputing', 'Robotics', 'Bigdata', 'programming', 'tech', 'innovation']",[],en,https://twitter.com/Khulood_Almani/status/1663897795693092864,1663897795693092864,2023,5,31,13:18:42,1403861754808049666,Khulood_Almani
1663885569531977730,"1️⃣ Intro to Computer Science And Programming In Python

A beginner friendly course that covers:
- Python
- OOPs
- Algorithms &amp; Data Structures

Check this out👇
https://t.co/znf4SMscGF",183,37,2023-05-31 12:30:07,1663885569531977730,2023-05-31 12:30:07,1,37,183,,[],en,https://twitter.com/akshay_pachaar/status/1663885569531977730,1663885564687556611,2023,5,31,12:30:07,703601972,akshay_pachaar
1663843431771254784,I've collated a set of GCSE #Python programming practice tasks organised roughly by complexity.  Past paper Qs and other tasks all available with solutions and starter code (where applicable).  Can share as Word or OneNote pages if any #CASchat folk are interested? #CSScot #CSK8 https://t.co/IMNIQZQ2uK,77,11,2023-05-31 09:42:41,1663843431771254784,2023-05-31 09:42:41,15,11,77,"['Python', 'CASchat', 'CSScot', 'CSK8']",[],en,https://twitter.com/MrAColley/status/1663843431771254784,1663843431771254784,2023,5,31,09:42:41,140918617,MrAColley
1663834368001941509,"This is gold folks

Download here: https://t.co/BQDN5c25vQ

✅ Join Amigoscode today for premium programming courses - https://t.co/HEbXKBaHjN

#softwaredeveloper #softwareengineering #java #python #golang #javascript #linux #notes #cheatsheet #programming #ebook #coding https://t.co/kWI9pN4lfL",1038,347,2023-05-31 09:06:40,1663834368001941509,2023-05-31 09:06:40,25,347,1038,"['softwaredeveloper', 'softwareengineering', 'java', 'python', 'golang', 'javascript', 'linux', 'notes', 'cheatsheet', 'programming', 'ebook', 'coding']",[],en,https://twitter.com/AmigosCode/status/1663834368001941509,1663834368001941509,2023,5,31,09:06:40,952618432482238466,AmigosCode
1663810858353401856,"Guide to Become a Data Scientist

Programming
• Python
• R
• SQL

Math Fundamentals
• Statistics
• Calculus
• Discrete Maths

Data Analysis
• Feature Engineering
• Data Wrangling
• EDA

Machine Learning
• Classification
• Regression
• Deep Learning
• Clustering",1048,303,2023-05-31 07:33:15,1663810858353401856,2023-05-31 07:33:15,18,303,1048,,[],en,https://twitter.com/sharyph_/status/1663810858353401856,1663810858353401856,2023,5,31,07:33:15,1302204267843915777,sharyph_
1663808006155534336,"Chat Bot Response System Using Python
☞ https://t.co/YGCWhtyYwP

#python #chatbot #ai #openai #chatgpt #programming #developer #morioh #programmer #coding #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment",188,52,2023-05-31 07:21:55,1663808006155534336,2023-05-31 07:21:55,1,52,188,"['python', 'chatbot', 'ai', 'openai', 'chatgpt', 'programming', 'developer', 'morioh', 'programmer', 'coding', 'softwaredeveloper', 'computerscience', 'webdev', 'webdeveloper', 'webdevelopment']",[],en,https://twitter.com/moriohdotcom/status/1663808006155534336,1663808006155534336,2023,5,31,07:21:55,838029933406380035,moriohdotcom
1663805258294804480,"How to Render Math Formulas from LaTeX in Python
☞ https://t.co/VUMdyXOp8n

#python #latex #programming #developer #morioh #programmer #coding #softwaredeveloper #computerscience #webdev #webdeveloper #webdevelopment",192,37,2023-05-31 07:11:00,1663805258294804480,2023-05-31 07:11:00,0,37,192,"['python', 'latex', 'programming', 'developer', 'morioh', 'programmer', 'coding', 'softwaredeveloper', 'computerscience', 'webdev', 'webdeveloper', 'webdevelopment']",[],en,https://twitter.com/pythoncodequs/status/1663805258294804480,1663805258294804480,2023,5,31,07:11:00,737913022006579200,pythoncodequs
1663785239557144580,"Planning to enrol in CFA course and discovered they are intoducing Python Programming Fundamentals as a subject

It'll help professionals in staying relevant

Still wonder why we were taught MS Access in IT trainings during CA and not these kind of applications used in real-life",297,18,2023-05-31 05:51:27,1663785239557144580,2023-05-31 05:51:27,20,18,297,,[],en,https://twitter.com/BahlKanan/status/1663785239557144580,1663785239557144580,2023,5,31,05:51:27,1343805897781329922,BahlKanan
1663763757493829635,"Python Visualization: Matplotlib vs Seaborn. @kdnuggets #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/SPPiEFec50 https://t.co/gcmA3NQZt5",153,51,2023-05-31 04:26:05,1663763757493829635,2023-05-31 04:26:05,3,51,153,"['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'IIoT', 'Python', 'RStats', 'TensorFlow', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'DataScientist', 'Linux', 'Programming', 'Coding', '100DaysofCode']",[],en,https://twitter.com/gp_pulipaka/status/1663763757493829635,1663763757493829635,2023,5,31,04:26:05,4263007693,gp_pulipaka
